0xFFFF,0x4c483735
0xFFFE,0x00000000
0xFFFD,0x00000000
0xFFFC,0x00000000
0xFFFB,0x00000000
0xFFFA,0x00000000
0xFFF9,0x00000000
0xFFF8,0x00000000
0xFFF7,0x00000000
0xFFF6,0x00000000
0xFFF5,0x004c4b40
0xFFF4,0x00030d40
0xFFF3,0x41400000
0xFFF2,0x3e4ccccd
0xFFF1,0x3d4ccccd
0xFFF0,0x3a947377
0xFFEF,0x3974dba7
0xFFEE,0x33c24048
0xFFED,0x4687f000
0xFFEC,0x00000000
0xFFEB,0x40000000
0xFFEA,0x11c56870
0xFFE9,0x002dc6c0
0xFFE8,0x501502f9
0xFFE7,0x4ab71b00
0xFFE6,0x10ff0b30
0xFFE5,0x127c8370
0xFFE4,0x00000065
0xFFE3,0x0000001e
0xFFE2,0xffffffff
0xFFE1,0x004c4b40
0xFFE0,0x00030d40
0xFFDF,0x41400000
0xFFDE,0x3e4ccccd
0xFFDD,0x3d4ccccd
0xFFDC,0x3a947377
0xFFDB,0x3974dba7
0xFFDA,0x33c24048
0xFFD9,0x4687f000
0xFFD8,0x00000000
0xFFD7,0x40000000
0xFFD6,0x11c56870
0xFFD5,0x002dc6c0
0xFFD4,0x501502f9
0xFFD3,0x4ab71b00
0xFFD2,0x10ff0b30
0xFFD1,0x127c8370
0xFFD0,0x00000065
0xFFCF,0x0000001e
0xFFCE,0xffffffff
0xFFCD,0x004c4b40
0xFFCC,0x00030d40
0xFFCB,0x41400000
0xFFCA,0x3e4ccccd
0xFFC9,0x3d4ccccd
0xFFC8,0x3a947377
0xFFC7,0x3974dba7
0xFFC6,0x33c24048
0xFFC5,0x4687f000
0xFFC4,0x00000000
0xFFC3,0x40000000
0xFFC2,0x11c56870
0xFFC1,0x002dc6c0
0xFFC0,0x501502f9
0xFFBF,0x4ab71b00
0xFFBE,0x10ff0b30
0xFFBD,0x127c8370
0xFFBC,0x00000065
0xFFBB,0x0000001e
0xFFBA,0xffffffff
0xFFB9,0x004c4b40
0xFFB8,0x00030d40
0xFFB7,0x41400000
0xFFB6,0x3e4ccccd
0xFFB5,0x3d4ccccd
0xFFB4,0x3a947377
0xFFB3,0x3974dba7
0xFFB2,0x33c24048
0xFFB1,0x4687f000
0xFFB0,0x00000000
0xFFAF,0x40000000
0xFFAE,0x11c56870
0xFFAD,0x002dc6c0
0xFFAC,0x501502f9
0xFFAB,0x4ab71b00
0xFFAA,0x10ff0b30
0xFFA9,0x127c8370
0xFFA8,0x00000065
0xFFA7,0x0000001e
0xFFA6,0xffffffff
0xFFA5,0x003d0900
0xFFA4,0x0000c350
0xFFA3,0x000493e0
0xFFA2,0x0016e360
0xFFA1,0x0000003c
0xFFA0,0x000186a0
0xFF9F,0x000003e9
0xFF9E,0x0000001e
0xFF9D,0xffffffff
0xFF9C,0xffffffff
0xFF9B,0xffffffff
0xFF9A,0xffffffff
0xFF99,0xffffffff
0xFF98,0xffffffff
0xFF97,0xffffffff
0xFF96,0xffffffff
0xFF95,0xffffffff
0xFF94,0xffffffff
0xFF93,0xffffffff
0xFF92,0xffffffff
0xFF91,0x3f000000
0xFF90,0x000000ff
0xFF8F,0x421c4000
0xFF8E,0x437a0000
0xFF8D,0x000000ff
0xFF8C,0x43c35000
0xFF8B,0x437a0000
0xFF8A,0x3f000000
0xFF89,0x000000ff
0xFF88,0x421c4000
0xFF87,0x437a0000
0xFF86,0x000000ff
0xFF85,0x43c35000
0xFF84,0x437a0000
0xFF83,0x3f000000
0xFF82,0x000000ff
0xFF81,0x421c4000
0xFF80,0x437a0000
0xFF7F,0x000000ff
0xFF7E,0x43c35000
0xFF7D,0x437a0000
0xFF7C,0x02faf080
0xFF7B,0x00989680
0xFF7A,0x00000000
0xFF79,0x40400000
0xFF78,0x42480000
0xFF77,0x00000000
0xFF76,0x00000000
0xFF75,0x0510ff40
0xFF74,0x0036ee80
0xFF73,0x00030d40
0xFF72,0x00000000
0xFF71,0x00989680
0xFF70,0x0000001e
0xFF6F,0xfaef00c0
0xFF6E,0x0510ff40
0xFF6D,0x0000001e
0xFF6C,0x0000012c
0xFF6B,0x000007d1
0xFF6A,0x00000000
0xFF69,0xffffffff
0xFF68,0xffffffff
0xFF67,0xffffffff
0xFF66,0x3f000000
0xFF65,0x000000ff
0xFF64,0x421c4000
0xFF63,0x437a0000
0xFF62,0x000000ff
0xFF61,0x43c35000
0xFF60,0x437a0000
0xFF5F,0x3f000000
0xFF5E,0x000000ff
0xFF5D,0x421c4000
0xFF5C,0x437a0000
0xFF5B,0x000000ff
0xFF5A,0x43c35000
0xFF59,0x437a0000
0xFF58,0x3f000000
0xFF57,0x000000ff
0xFF56,0x421c4000
0xFF55,0x437a0000
0xFF54,0x000000ff
0xFF53,0x43c35000
0xFF52,0x437a0000
0xFF51,0x02faf080
0xFF50,0x00989680
0xFF4F,0x00000000
0xFF4E,0x40400000
0xFF4D,0x42480000
0xFF4C,0x00000000
0xFF4B,0x00000000
0xFF4A,0x0510ff40
0xFF49,0x0036ee80
0xFF48,0x00030d40
0xFF47,0x00000000
0xFF46,0x00989680
0xFF45,0x0000001e
0xFF44,0xfaef00c0
0xFF43,0x0510ff40
0xFF42,0x0000001e
0xFF41,0x0000012c
0xFF40,0x000007d1
0xFF3F,0x00000000
0xFF3E,0xffffffff
0xFF3D,0xffffffff
0xFF3C,0xffffffff
