data,data2,set temp,p,i,d
23.811822,24.857202,25.1,3.0,2.0,0.0
23.81112,24.85708,25.1,3.0,2.0,0.0
23.81112,24.855859,25.1,3.0,2.0,0.0
23.811822,24.856134,25.1,3.0,2.0,0.0
23.81408,24.856072,25.1,3.0,2.0,0.0
23.811425,24.855493,25.1,3.0,2.0,0.0
23.812188,24.855493,25.1,3.0,2.0,0.0
23.812188,24.856164,25.1,3.0,2.0,0.0
23.813134,24.857751,25.1,3.0,2.0,0.0
23.813012,24.858728,25.1,3.0,2.0,0.0
23.811578,24.856439,25.1,3.0,2.0,0.0
23.812829,24.856439,25.1,3.0,2.0,0.0
23.812829,24.857171,25.1,3.0,2.0,0.0
23.813043,24.856622,25.1,3.0,2.0,0.0
23.813012,24.85653,25.1,3.0,2.0,0.0
23.813317,24.857965,25.1,3.0,2.0,0.0
23.813043,24.857965,25.1,3.0,2.0,0.0
23.813043,24.858361,25.1,3.0,2.0,0.0
23.812585,24.856896,25.1,3.0,2.0,0.0
23.813043,24.857629,25.1,3.0,2.0,0.0
23.813867,24.857354,25.1,3.0,2.0,0.0
23.814202,24.857354,25.1,3.0,2.0,0.0
23.814202,24.856805,25.1,3.0,2.0,0.0
23.813653,24.857659,25.1,3.0,2.0,0.0
23.81231,24.858361,25.1,3.0,2.0,0.0
23.813653,24.857812,25.1,3.0,2.0,0.0
23.812066,24.857812,25.1,3.0,2.0,0.0
23.812066,24.858087,25.1,3.0,2.0,0.0
23.812951,24.857202,25.1,3.0,2.0,0.0
23.813104,24.857751,25.1,3.0,2.0,0.0
23.814721,24.858819,25.1,3.0,2.0,0.0
23.812768,24.858819,25.1,3.0,2.0,0.0
23.812768,24.858605,25.1,3.0,2.0,0.0
23.811456,24.859246,25.1,3.0,2.0,0.0
23.813958,24.858361,25.1,3.0,2.0,0.0
23.814141,24.859063,25.1,3.0,2.0,0.0
23.814141,24.859063,25.1,3.0,2.0,0.0
23.814141,24.859063,25.1,3.0,2.0,0.0
23.812585,24.860406,25.1,3.0,2.0,0.0
23.812585,24.858575,25.1,3.0,2.0,0.0
23.813409,24.857751,25.1,3.0,2.0,0.0
23.814813,24.857751,25.1,3.0,2.0,0.0
23.814843,24.859033,25.1,3.0,2.0,0.0
23.814843,24.858605,25.1,3.0,2.0,0.0
23.813897,24.859246,25.1,3.0,2.0,0.0
23.814538,24.860437,25.1,3.0,2.0,0.0
23.813867,24.860437,25.1,3.0,2.0,0.0
23.814843,24.859979,25.1,3.0,2.0,0.0
23.814843,24.859704,25.1,3.0,2.0,0.0
23.814569,24.859704,25.1,3.0,2.0,0.0
23.813714,24.860131,25.1,3.0,2.0,0.0
23.813562,24.860131,25.1,3.0,2.0,0.0
23.814141,24.858605,25.1,3.0,2.0,0.0
23.814141,24.85949,25.1,3.0,2.0,0.0
23.815484,24.859307,25.1,3.0,2.0,0.0
23.814904,24.859124,25.1,3.0,2.0,0.0
23.813958,24.859124,25.1,3.0,2.0,0.0
23.815454,24.85946,25.1,3.0,2.0,0.0
23.815454,24.859521,25.1,3.0,2.0,0.0
23.815087,24.860131,25.1,3.0,2.0,0.0
23.814447,24.859124,25.1,3.0,2.0,0.0
23.814355,24.859124,25.1,3.0,2.0,0.0
23.815911,24.859307,25.1,3.0,2.0,0.0
23.815911,24.859582,25.1,3.0,2.0,0.0
23.815667,24.859582,25.1,3.0,2.0,0.0
23.815148,24.859521,25.1,3.0,2.0,0.0
23.816491,24.859521,25.1,3.0,2.0,0.0
23.816278,24.860101,25.1,3.0,2.0,0.0
23.816278,24.85888,25.1,3.0,2.0,0.0
23.815972,24.859765,25.1,3.0,2.0,0.0
23.815362,24.860131,25.1,3.0,2.0,0.0
23.815087,24.860131,25.1,3.0,2.0,0.0
23.816308,24.86126,25.1,3.0,2.0,0.0
23.816308,24.858666,25.1,3.0,2.0,0.0
23.815087,24.860253,25.1,3.0,2.0,0.0
23.815362,24.859979,25.1,3.0,2.0,0.0
23.815637,24.859979,25.1,3.0,2.0,0.0
23.816094,24.86062,25.1,3.0,2.0,0.0
23.816094,24.859765,25.1,3.0,2.0,0.0
23.815759,24.861077,25.1,3.0,2.0,0.0
23.816613,24.859338,25.1,3.0,2.0,0.0
23.816278,24.859338,25.1,3.0,2.0,0.0
23.815362,24.858758,25.1,3.0,2.0,0.0
23.815362,24.861047,25.1,3.0,2.0,0.0
23.815667,24.860864,25.1,3.0,2.0,0.0
23.815789,24.861322,25.1,3.0,2.0,0.0
23.815789,24.861322,25.1,3.0,2.0,0.0
23.814813,24.860772,25.1,3.0,2.0,0.0
23.814813,24.86126,25.1,3.0,2.0,0.0
23.816217,24.861352,25.1,3.0,2.0,0.0
23.815362,24.861322,25.1,3.0,2.0,0.0
23.815911,24.861322,25.1,3.0,2.0,0.0
23.815454,24.860284,25.1,3.0,2.0,0.0
23.815454,24.860467,25.1,3.0,2.0,0.0
23.816888,24.861718,25.1,3.0,2.0,0.0
23.815972,24.859674,25.1,3.0,2.0,0.0
23.816644,24.859674,25.1,3.0,2.0,0.0
23.816766,24.861108,25.1,3.0,2.0,0.0
23.816766,24.86062,25.1,3.0,2.0,0.0
23.817773,24.86184,25.1,3.0,2.0,0.0
23.817712,24.860589,25.1,3.0,2.0,0.0
23.816827,24.860589,25.1,3.0,2.0,0.0
23.816308,24.861444,25.1,3.0,2.0,0.0
23.816308,24.860406,25.1,3.0,2.0,0.0
23.817041,24.861352,25.1,3.0,2.0,0.0
23.816705,24.861657,25.1,3.0,2.0,0.0
23.817834,24.861657,25.1,3.0,2.0,0.0
23.817407,24.862664,25.1,3.0,2.0,0.0
23.817407,24.861566,25.1,3.0,2.0,0.0
23.815484,24.863122,25.1,3.0,2.0,0.0
23.817224,24.86126,25.1,3.0,2.0,0.0
23.817041,24.86126,25.1,3.0,2.0,0.0
23.81585,24.861322,25.1,3.0,2.0,0.0
23.818292,24.860986,25.1,3.0,2.0,0.0
23.818292,24.863549,25.1,3.0,2.0,0.0
23.818475,24.862115,25.1,3.0,2.0,0.0
23.816217,24.862115,25.1,3.0,2.0,0.0
23.818414,24.861627,25.1,3.0,2.0,0.0
23.817224,24.86184,25.1,3.0,2.0,0.0
23.817224,24.863214,25.1,3.0,2.0,0.0
23.817559,24.862268,25.1,3.0,2.0,0.0
23.816796,24.862268,25.1,3.0,2.0,0.0
23.818414,24.862786,25.1,3.0,2.0,0.0
23.81759,24.862207,25.1,3.0,2.0,0.0
23.81759,24.862573,25.1,3.0,2.0,0.0
23.817468,24.862969,25.1,3.0,2.0,0.0
23.81936,24.862969,25.1,3.0,2.0,0.0
23.817895,24.862451,25.1,3.0,2.0,0.0
23.817468,24.862481,25.1,3.0,2.0,0.0
23.817468,24.863671,25.1,3.0,2.0,0.0
23.816705,24.863031,25.1,3.0,2.0,0.0
23.817651,24.863031,25.1,3.0,2.0,0.0
23.817468,24.863183,25.1,3.0,2.0,0.0
23.818475,24.86358,25.1,3.0,2.0,0.0
23.818475,24.862847,25.1,3.0,2.0,0.0
23.818658,24.863488,25.1,3.0,2.0,0.0
23.817285,24.863488,25.1,3.0,2.0,0.0
23.819726,24.862084,25.1,3.0,2.0,0.0
23.817895,24.862298,25.1,3.0,2.0,0.0
23.817895,24.863824,25.1,3.0,2.0,0.0
23.818231,24.863671,25.1,3.0,2.0,0.0
23.819879,24.863671,25.1,3.0,2.0,0.0
23.81878,24.863366,25.1,3.0,2.0,0.0
23.818658,24.863092,25.1,3.0,2.0,0.0
23.818658,24.862268,25.1,3.0,2.0,0.0
23.818658,24.863702,25.1,3.0,2.0,0.0
23.819726,24.863702,25.1,3.0,2.0,0.0
23.819909,24.864343,25.1,3.0,2.0,0.0
23.818841,24.863946,25.1,3.0,2.0,0.0
23.818841,24.862176,25.1,3.0,2.0,0.0
23.820611,24.864129,25.1,3.0,2.0,0.0
23.820092,24.863305,25.1,3.0,2.0,0.0
23.817895,24.863305,25.1,3.0,2.0,0.0
23.819787,24.863702,25.1,3.0,2.0,0.0
23.819787,24.863214,25.1,3.0,2.0,0.0
23.819787,24.862084,25.1,3.0,2.0,0.0
23.818902,24.864709,25.1,3.0,2.0,0.0
23.820458,24.864709,25.1,3.0,2.0,0.0
23.820031,24.862939,25.1,3.0,2.0,0.0
23.820031,24.863885,25.1,3.0,2.0,0.0
23.81878,24.86477,25.1,3.0,2.0,0.0
23.820367,24.863763,25.1,3.0,2.0,0.0
23.819146,24.863763,25.1,3.0,2.0,0.0
23.819635,24.864007,25.1,3.0,2.0,0.0
23.819635,24.864343,25.1,3.0,2.0,0.0
23.819635,24.865533,25.1,3.0,2.0,0.0
23.821099,24.864587,25.1,3.0,2.0,0.0
23.818536,24.864587,25.1,3.0,2.0,0.0
23.820031,24.863214,25.1,3.0,2.0,0.0
23.820031,24.864251,25.1,3.0,2.0,0.0
23.819421,24.865167,25.1,3.0,2.0,0.0
23.820855,24.865563,25.1,3.0,2.0,0.0
23.820153,24.865563,25.1,3.0,2.0,0.0
